,0,1,2,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,Tax-Supported Debt Interest Outstanding as of 8/31/03 ,Tax-Supported Debt Service Outstanding as of 8/31/03 ,2002 M&O Tax Rate ,2002 I&S Tax Rate ,2002 TOTAL Tax Rate ,2002 Tax Year Assessed Valuation (AV) ,Population ,Debt Ratio Tax Debt to Assessed Valuation (AV) ,Debt Ratio Tax Debt Service to AV ,Debt Ratio Tax Debt Per Capita 
7,001-000-00,Anderson County,Anderson,4500000,1846340.7778,6346340.7778,0.4439,0,0.4439,1665821823,54790,0.0027013693408673755,0.003809735645298963,82.1317758715094
8,002-000-00,Andrews County,Andrews,,,,0.5388,0,0.5388,1814628156,12868,0,0,0
9,003-000-00,Angelina County,Angelina,13104000,7277252.00555556,20381252.00555556,0.3694,0,0.3694,2564125439,80935,0.005110514408027758,0.007948617370881893,161.907703712856
10,004-000-00,Aransas County,Aransas,11400000,6343034.375,17743034.375,0.3185,0,0.3185,1391669959,23574,0.00819159738720781,0.012749455616437574,483.5836090608297
11,005-000-00,Archer County,Archer,945000,100528.125,1045528.125,0.66616,0.04384,0.71,355122000,9189,0.0026610573267778397,0.0029441378596651293,102.84035259549461
12,006-000-00,Armstrong County,ARMSTRONG,,,,0.3856,0,0.3856,112698190,2056,0,0,0
13,007-000-00,Atascosa County,ATASCOSA,5190000,2004205,7194205,0.6315,0.0723,0.7038,1112541101,41867,0.004664996192351908,0.006466462221965137,123.9639811784938
14,008-000-00,Austin County,AUSTIN,980000,58604.48667,1038604.48667,0.5088,0.0226,0.5314,1143988632,25057,0.0008566518692468965,0.0009078800764429274,39.110827313724705
15,009-000-00,Bailey County,BAILEY,4735000,3033789.1875,7768789.1875,0.564,0,0.564,231971272,6660,0.02041201032858931,0.0334903073148644,710.960960960961
16,010-000-00,Bandera County,BANDERA,380000,9310,389310,0.6696,0,0.6696,846371144,19347,0.00044897560921571304,0.00045997551164149805,19.641288054995606
17,011-000-00,Bastrop County,BASTROP,25125000,11540679.1667,36665679.1667,0.5233,0.0828,0.6061,2713155938,67077,0.009260433448775845,0.013514033105567851,374.5695245762333
18,012-000-00,Baylor County,BAYLOR,,,,0.6393,0,0.6393,145682965,3909,0,0,0
19,013-000-00,Bee County,BEE,9385000,5179864.2708333,14564864.2708333,0.321195,0.049945,0.37114,740262153,32431,0.012677941134726632,0.01967527883440679,289.38361444297124
20,014-000-00,Bell County,Bell,27125000,9680007.5,36805007.5,0.3118,0.0533,0.3651,7242971535,248727,0.0037450098856421916,0.005081478965110968,109.05530963666992
21,015-000-00,Bexar County,BEXAR,142000477.8,64224698.45,206225176.25,0.275215,0.058456,0.333671,53166240313,1471644,0.002670876800089974,0.003878874545875583,96.49105204791377
22,016-000-00,Blanco County,BLANCO,795000,289600,1084600,0.4814,0.0179,0.4993,514725014,8809,0.0015445140188970882,0.002107144534460103,90.24860937677376
23,017-000-00,Borden County,BORDEN,,,,0.47,0,0.47,272027642,682,0,0,0
24,018-000-00,Bosque County,BOSQUE,,,,0.3395,0,0.3395,848712648,17696,0,0,0
25,019-000-00,Bowie County,BOWIE,4325000,751387.5,5076387.5,0.1898,0.1277,0.3175,2844741028,89699,0.0015203492892429294,0.0017844814167738013,48.21681401130447
