,Govt ID #,Issuer/Government Name,County,Government Type,Year,variable,value
1,188-OT,Amarillo-Potter Events Venue District,Potter,OSD,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,0.0
2,246-201-10,Avery Ranch Road District 1,Williamson,OSD,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,11045000.0
3,015-201-12,Bexar County Road and Flood District,Bexar,OSD,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,0.0
4,247-205-10,Blackjack Road District,Wilson,OSD,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,0.0
5,021-000-OT,Bryan Higher Education Authority,Brazos,OSD,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,0.0
6,105-203-10,Burnett Ranch Road District,Hays,OSD,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,0.0
7,247-202-10,CLPP Road District,Wilson,OSD,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,0.0
8,048-201-10,Concho County Lateral Road District,Concho,OSD,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,0.0
9,247-210-10,Country Acres Road District,Wilson,OSD,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,0.0
10,057-OT,Dallas Area Rapid Transit,Dallas,OSD,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,0.0
11,057-OTcp,Dallas Area Rapid Transit-Commercial Paper,Dallas,OSD,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,135670000.0
12,061-201-05,Denton County Road UD 1,Denton,OSD,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,20100000.0
13,066-201-33,Duval County Vocational District,Duval,OSD,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,0.0
14,170-001-09,East Montgomery County ID,Montgomery,OSD,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,0.0
15,079-203-10,Fort Bend Parkway Road District,Fort Bend,OSD,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,950000.0
16,084-201-12,Galveston County Road and Flood District,Galveston,OSD,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,0.0
17,246-201-09,Georgetown Village PID 1,Williamson,OSD,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,0.0
18,101-201-33,Harris County Department of Education,Harris,OSD,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,0.0
19,247-209-10,HELROBQ Road District,Wilson,OSD,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,0.0
