,Govt ID #,Issuer/Government Name,County,Government Type,Year,variable,value
0,Govt ID #,Issuer/Government Name,County,CITY,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,as of 8/31/03
1,109-001-03,Abbott,Hill,CITY,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,100000
2,095-101-03,Abernathy,Hale,CITY,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,605000
3,221-105-03,Abilene,Taylor,CITY,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,97420000
4,156-001-03,Ackerly,Martin,CITY,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,
5,057-101-03,Addison,Dallas,CITY,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,61869307
6,180-101-03,Adrian,Oldham,CITY,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,
7,178-101-03,Agua Dulce,Nueces,CITY,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,
8,108-101-03,Alamo,Hidalgo,CITY,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,5285000
9,015-117-03,Alamo Heights,Bexar,CITY,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,
10,250-101-03,Alba,Wood,CITY,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,
11,209-101-03,Albany,Shackelford,CITY,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,
12,184-104-03,Aledo,Parker,CITY,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,1695000
13,125-103-03,Alice,Jim Wells,CITY,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,7475000
14,043-101-03,Allen,Collin,CITY,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,83603921.35
15,070-001-03,Alma,Ellis,CITY,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,
16,022-101-03,Alpine,Brewster,CITY,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,2510000
17,037-101-03,Alto,Cherokee,CITY,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,860000
18,108-114-03,Alton,Hidalgo,CITY,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,270000
19,126-101-03,Alvarado,Johnson,CITY,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,5620000
20,020-109-03,Alvin,Brazoria,CITY,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,19525000
21,249-101-03,Alvord,Wise,CITY,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,689767.21
22,188-101-03,Amarillo,Potter-Randall,CITY,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,7000000
23,146-106-03,Ames,Liberty,CITY,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,942000
24,140-101-03,Amherst,Lamb,CITY,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,
25,036-101-03,Anahuac,Chambers,CITY,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,2055000
26,093-102-03,Anderson,Grimes,CITY,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,
27,002-101-03,Andrews,Andrews,CITY,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,
28,020-101-03,Angleton,Brazoria,CITY,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,24407000
29,175-001-03,Angus,Navarro,CITY,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,
30,043-102-03,Anna,Collin,CITY,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,54500
31,184-001-03,Annetta,Parker,CITY,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,
32,184-002-03,Annetta North,Parker,CITY,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,
33,184-003-03,Annetta South,Parker,CITY,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,
34,194-101-03,Annona,Red River,CITY,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,
35,127-102-03,Anson,Jones,CITY,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,200000
36,071-101-03,Anthony,El Paso,CITY,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,807000
37,110-101-03,Anton,Hockley,CITY,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,
38,174-001-03,Appleby,Nacogdoches,CITY,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,
39,109-002-03,Aquilla,Hill,CITY,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,
40,205-108-03,Aransas Pass,San Patricio,CITY,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,10802000
41,005-101-03,Archer City,Archer,CITY,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,58000
42,079-109-03,Arcola,Fort Bend,CITY,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,
43,061-123-03,Argyle,Denton,CITY,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,1200000
44,220-124-03,Arlington,Tarrant,CITY,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,297820000
45,212-101-03,Arp,Smith,CITY,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,470000
46,064-101-03,Asherton,Dimmit,CITY,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,
47,217-101-03,Aspermont,Stonewall,CITY,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,
48,107-105-03,Athens,Henderson,CITY,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,6245000
49,034-101-03,Atlanta,Cass,CITY,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,18740000
50,061-101-03,Aubrey,Denton,CITY,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,4758642.16
51,249-110-03,Aurora,Wise,CITY,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,
52,227-104-03,Austin,Travis-Williamson,CITY,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,868052761
53,227-104-03cp,Austin-Commercial Paper,Travis-Williamson,CITY,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,
54,196-101-03,Austwell,Refugio,CITY,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,
55,194-102-03,Avery,Red River,CITY,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,12000
56,034-102-03,Avinger,Cass,CITY,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,
57,220-101-03,Azle,Tarrant,CITY,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,10445000
58,074-110-03,Bailey,Fannin,CITY,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,105000
59,020-122-03,Bailey’s Prairie,Brazoria,CITY,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,
60,030-101-03,Baird,Callahan,CITY,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,713000
61,057-103-03,Balch Springs,Dallas,CITY,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,10535000
62,015-101-03,Balcones Heights,Bexar,CITY,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,2380000
63,200-103-03,Ballinger,Runnels,CITY,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,5250000
64,195-101-03,Balmorhea,Reeves,CITY,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,
65,010-101-03,Bandera,Bandera,CITY,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,3185000
66,025-101-03,Bangs,Brown,CITY,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,
67,070-101-03,Bardwell,Ellis,CITY,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,211000
68,175-101-03,Barry,Navarro,CITY,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,
69,238-001-03,Barstow,Ward,CITY,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,
70,014-101-03,Bartlett,Bell,CITY,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,2180000
71,061-125-03,Bartonville,Denton,CITY,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,1045000
72,011-101-03,Bastrop,Bastrop,CITY,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,9675000
73,158-101-03,Bay City,Matagorda,CITY,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,11895000
74,031-116-03,Bay View,Cameron,CITY,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,
75,084-115-03,Bayou Vista,Galveston,CITY,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,
76,196-104-03,Bayside,Refugio,CITY,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,827000
77,101-120-03,Baytown,Harris,CITY,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,86050000
78,036-001-03,Beach City,Chambers,CITY,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,
79,105-107-03,Bear Creek,Hays,CITY,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,
